ID,X,Y,Z
91,-2.840554,4.085522,-1.604144
92,-2.244554,3.361522,-3.370144
93,0.907446,-4.880478,1.785856
94,2.937446,-1.664478,-4.064144
95,4.391448,2.779522,0.979856
96,-3.536554,3.699522,1.419858
97,2.575448,-2.626478,3.831856
98,-3.288554,-0.350478,4.191856
99,-4.570554,-2.300478,-1.594144
100,-1.264552,-0.450478,-5.206144
101,-0.648554,2.067522,4.923856
102,3.153446,0.421522,4.347856
103,1.695446,2.941522,-4.210144
104,2.861446,-3.614478,-2.850144
105,3.205446,3.275522,-2.938144
106,4.559446,1.957522,-2.270144
107,2.297448,4.663522,-1.810144
108,4.489446,-0.056478,-3.224144
109,-1.768554,0.433524,5.227856
110,5.199446,-1.770478,-0.750142
111,2.679448,2.393522,4.221858
112,1.209446,-2.190478,-4.948144
113,-3.134554,-0.098478,-4.586144
114,1.019446,-2.204478,5.017856
115,4.177446,2.293522,2.901858
116,2.987446,-4.732478,0.509858
117,-0.090554,4.811524,-2.942144
118,-4.712554,-3.090476,0.243856
119,-4.994554,2.557522,0.611856
120,5.463446,0.327522,-1.518144
121,-3.644554,2.011522,-3.866144
122,-3.666554,-4.140478,-1.302142
123,-0.696554,5.677522,0.519856
124,-4.428554,2.997522,-2.140144
125,-1.208554,-3.850478,-4.116144
126,-1.382554,5.433524,-1.348144
127,-0.826554,-5.022478,2.763856
128,4.071448,-1.312478,3.929858
129,5.779446,0.471522,0.447856
130,-0.802554,-3.726478,4.423856
131,1.601446,0.551524,5.603858
132,3.855446,-4.228478,-1.236144
133,-3.522554,-4.652478,0.619856
134,-4.596554,1.019522,3.541856
135,-5.792554,-1.048478,-0.248144
136,-5.440554,-0.590476,-2.188144
137,4.877448,0.417522,3.341856
138,2.347446,1.045522,-5.346144
139,1.579446,5.011522,2.767856
140,-3.424554,-3.346478,-3.518144
141,-0.730554,-2.400478,-5.396144
142,-0.400554,5.377524,2.573856
143,-5.106554,-0.844478,2.987856
144,-4.402554,-1.570478,-3.796144
145,0.401446,-5.826478,-1.484144
146,-2.364554,5.337522,1.563856
147,3.367446,4.129522,2.869856
148,0.559446,-0.302476,-6.024144
149,-0.716554,-1.632478,5.817856
150,-2.350554,3.087522,4.695856
151,-4.020554,2.933524,3.537858
152,1.455446,-5.984478,0.205856
153,-2.426554,-4.930478,-2.808144
154,1.855446,5.893522,-0.292142
155,2.729446,-1.254478,5.417856
156,1.679448,-5.228478,-2.904144
157,1.197446,2.509522,5.559856
158,-4.410554,-3.628478,2.635856
159,-4.574554,4.285522,-0.622142
160,-6.242554,0.899522,-0.556142
161,-0.986554,2.679522,-5.652144
162,-5.692554,1.439522,-2.414144
163,-1.086554,4.585522,4.273858
164,-1.910552,-6.070478,0.313856
165,-0.418554,-5.488478,-3.282144
166,2.455446,-0.918478,-5.860144
167,-3.060554,5.639522,-0.276144
168,3.779446,5.225522,-0.596144
169,-0.204554,0.541522,6.467858
170,-3.112554,-5.136478,2.509858
171,-1.148554,4.493522,-4.602144
172,-3.270554,-3.414478,4.511856
173,5.891448,-1.318478,-2.568144
174,2.729446,-3.484478,-4.846144
175,5.963446,1.713522,2.203856
176,4.071448,0.039522,-5.180144
177,5.351446,-3.202478,-2.142144
178,-0.254552,-6.456478,1.363858
179,-2.244554,5.351522,-3.152144
180,-3.632554,1.571522,5.321858
181,2.217448,4.315524,4.527856
182,-2.862554,-1.414478,5.829856
183,3.583446,2.789522,-4.862144
184,-2.738554,1.337522,-5.918144
185,-5.228554,0.229522,-4.120144
186,-1.542552,-6.286478,-1.638144
187,5.605446,-3.332478,1.471856
188,4.455446,-3.064478,-3.934144
189,-6.306554,-1.658478,1.577856
190,6.261446,2.409524,0.355856
191,0.977446,2.725522,-6.070144
192,1.597446,-5.484478,3.557856
193,6.479446,-1.672478,0.789856
194,0.165446,6.661522,-1.040144
195,-0.908554,0.935522,-6.620144
196,-4.544554,-1.880478,4.619856
197,0.821446,6.531522,1.491856
198,0.829446,4.611522,-4.880144
199,5.069446,1.647522,-4.172144
200,2.755446,6.011522,1.489856
201,1.733446,-4.082478,5.133856
202,-6.094554,2.833522,-1.042142
203,-2.872554,3.215522,-5.260144
204,-6.510554,1.453522,1.375856
205,0.999446,-1.044478,6.659856
206,4.169446,-4.976478,2.091856
207,5.385446,4.187522,-0.060144
208,-3.718554,4.843524,3.047858
209,3.293446,-4.496478,3.953858
210,1.651446,5.703522,-3.408144
211,4.511446,1.817522,4.823856
212,2.519448,-6.090478,1.893856
213,5.813446,-1.886478,3.135856
214,5.403446,3.777524,-2.006144
215,6.543448,-0.212478,2.153856
216,2.557446,-6.270478,-1.442144
217,4.511446,5.059522,1.515856
218,-3.194554,-1.526478,-5.978144
219,-4.088554,4.345522,-3.570144
220,-2.480554,-3.348478,-5.568144
221,6.443448,2.093524,-1.610144
222,5.019448,-4.860478,0.273858
223,-2.014554,2.063522,6.391858
224,-5.660554,-3.958478,-1.300144
225,-5.472554,4.003522,1.893856
226,-5.388554,-3.260478,-3.156144
227,-5.920554,2.415522,3.023858
228,-1.942554,-3.210478,5.997856
229,3.057446,4.659524,-4.376144
230,-3.554554,-6.080478,-0.820144
231,4.017446,5.225522,-2.634144
232,-2.098554,-5.254478,4.309856
233,0.027446,-3.456478,6.225856
234,5.361446,-1.324478,-4.498144
235,-4.330554,5.521522,1.257856
236,5.089448,-3.740478,3.355856
237,6.295446,-3.458478,-0.396142
238,0.931446,-3.874478,-5.990144
239,3.063446,2.115522,6.163856
240,0.537446,5.753522,4.299856
241,-4.984554,-0.026478,5.207858
242,-3.966554,5.669524,-2.070144
243,-6.620554,-2.180478,-1.896142
244,-0.138554,-5.618478,4.555856
245,-6.680554,-2.832478,0.001856
246,-5.476554,2.817522,-3.838144
247,-2.158554,6.035522,3.429858
248,3.507446,-3.240478,5.489856
249,0.491446,-2.080478,-6.956144
250,-1.464554,-1.428478,-6.988144
251,3.997446,-2.182478,-5.682144
252,0.929448,-5.450478,-4.752144
253,-0.786554,6.685522,-2.804144
254,-4.426554,-4.994478,-2.952144
255,4.135446,3.777524,4.683856
256,0.667446,4.415522,5.787858
257,6.009448,3.773524,1.805856
258,6.539446,0.601522,-3.320144
259,4.223446,0.245522,6.021856
260,1.453446,1.093524,-7.140144
261,3.343446,-5.202478,-4.008144
262,-1.228554,3.885522,6.151858
263,-1.732554,7.165524,-0.326144
264,-1.278554,7.029522,1.871856
265,-7.356554,-0.216478,0.675856
266,-6.928554,-0.066476,2.611856
267,-6.212554,-3.648478,1.761856
268,2.729446,6.611522,-1.972144
269,4.891448,3.985524,-3.934144
270,-4.410554,-2.970478,-5.214144
271,-0.154554,2.453522,7.039856
272,7.187446,-1.664478,-1.084144
273,-3.150554,0.309522,6.787858
274,-5.982554,-2.780478,3.549856
275,-5.492554,-5.084478,0.339858
276,5.787446,-0.672478,4.737856
277,1.931446,-2.836478,6.695856
278,3.555446,-6.630478,0.263856
279,-4.816554,1.865522,-5.478144
280,-4.538554,-0.050478,-6.008144
281,4.887448,-5.044478,-2.744144
282,-2.296554,-5.404478,-4.742144
283,-1.928554,-6.684478,2.941856
284,5.783448,3.173522,3.701856
285,-3.640554,-6.568478,1.185856
286,-1.584554,-0.774478,7.403856
287,7.461446,0.373522,-1.466144
288,3.157446,6.021522,3.443858
289,-5.628554,4.587522,-2.318144
290,-6.402554,-1.668478,-3.814144
291,-0.954554,-4.544478,-6.066144
292,2.373446,-2.712478,-6.736144
293,-7.532554,-0.422478,-1.336144
294,-0.768554,-7.634478,-0.330144
295,2.919446,2.391522,-6.706144
296,-7.000554,0.145524,-3.194144
297,1.383446,1.203522,7.483856
298,-6.928554,3.295522,0.725856
299,-5.378554,2.485524,4.945856
300,-4.060554,3.947524,5.281856
301,1.149446,-7.604478,-0.920144
302,3.351446,0.465522,-6.994144
303,6.379446,1.377522,4.243856
304,-2.982554,5.197524,-5.006144
305,-6.470554,0.949522,4.277856
306,2.297448,4.229522,-6.180144
307,-3.138554,7.123522,1.145856
308,-2.896554,-0.080478,-7.328144
309,-2.614554,7.133522,-2.118144
310,-0.054554,-7.480478,-2.514142
311,6.493446,2.897522,-3.436144
312,4.695446,1.677522,-6.146144
313,-6.510554,-1.046478,4.403856
314,-0.076554,-0.342478,-7.926144
315,-0.028552,-7.280478,3.167856
316,1.319446,-7.678478,1.547858
317,7.929448,-0.372478,0.333856
318,-3.218554,-6.770478,-2.672144
319,7.727448,1.367524,1.327856
320,4.443448,-1.712478,6.385856
321,3.487446,7.163522,-0.210144
322,-2.636554,5.363524,5.277856
323,1.053446,7.453522,-2.652144
324,5.433446,-2.846478,5.109856
325,4.979446,5.205522,3.447856
326,-0.036554,7.985524,0.433856
327,2.855446,-1.034478,7.403856
328,-5.598554,4.185522,3.911856
329,-5.014554,6.259524,-0.468144
330,4.913446,-6.258478,-1.148144
331,-7.658554,1.525522,-1.912144
332,1.909446,-0.748478,-7.774144
333,-4.318554,-5.124478,4.455856
334,-1.250554,-5.074478,6.127858
335,-1.844552,4.431522,-6.478144
336,-1.976552,2.553522,-7.388144
337,-4.158554,-2.970478,6.247856
338,6.135446,0.347522,-5.264142
339,-6.504554,4.795522,-0.532144
340,-0.008554,2.321522,-7.762144
341,3.329446,-6.478478,3.673856
342,-4.762554,3.863522,-5.388144
343,-1.576554,-7.064478,-3.776144
344,-8.008554,1.587522,0.063856
345,1.763446,7.949522,-0.848144
346,-5.436554,-5.936478,-1.498144
347,2.179448,-6.830478,-3.990144
348,-1.308554,1.145522,8.019858
349,-0.492554,-2.392478,7.835858
350,7.247446,3.799522,-0.704144
351,-1.610554,-7.954478,1.419858
352,1.819446,7.479522,2.937856
353,-1.642554,6.635522,-4.608144
354,-7.080554,3.259522,-2.728144
355,2.599448,-5.212478,-5.858144
356,-0.088554,7.481524,3.527856
357,5.935446,5.599522,-1.378144
358,-4.566554,-1.098478,6.831856
359,6.915448,-2.460478,-3.858144
360,6.161446,-5.168478,2.047858
361,-0.398554,5.757522,-5.964144
362,0.395446,6.989522,-4.478144
363,0.733446,-5.344478,6.327856
364,0.137446,-0.288478,8.309856
365,3.869446,-6.774478,-2.880144
366,3.231448,4.203522,6.409856
367,7.343446,-3.372478,-2.106144
368,2.375446,-5.966478,5.355856
369,-5.918554,-4.916478,3.275856
370,-3.230554,-4.734478,6.089858
371,0.015446,4.249524,-7.210144
372,-2.906554,-7.860478,-0.156144
373,5.283448,6.499524,0.355856
374,-1.108554,6.627524,5.021856
375,8.135446,2.007522,-0.522144
376,7.809446,-0.906476,-2.954144
377,6.497446,-5.102478,-1.568144
378,4.443448,-4.512478,-5.536144
379,-1.914554,-3.316478,-7.492144
380,-4.620554,-6.402478,2.915858
381,7.081446,-3.424478,2.999856
382,-3.934554,6.831522,2.963856
383,-2.792552,-2.356478,7.595858
384,3.351446,0.871524,7.709856
385,2.065446,6.023524,5.563856
386,2.259448,8.079524,1.081856
387,-3.622554,6.649522,-3.780144
388,-7.690554,-1.866478,3.009858
389,2.247446,6.275522,-5.222144
390,-3.852554,-4.790478,-5.836144
391,1.653446,3.175522,7.683856
392,-5.438554,-4.594478,-4.632144
393,5.799446,-3.042478,-5.410144
394,4.389446,6.953522,2.163856
395,-6.648554,1.101522,-5.214144
396,-0.766554,-6.462478,-5.504144
397,-6.340554,-0.834478,-5.636144
398,3.765446,-1.442478,-7.526144
399,7.729446,-1.068478,3.473856
400,5.451446,-1.070478,-6.488144
401,5.931446,3.035522,-5.348144
402,4.293446,4.249524,-6.042144
403,7.569446,2.617524,2.989856
404,-5.636554,5.811524,2.747856
405,-3.756554,2.129522,7.379856
406,-8.368556,-1.758478,-0.104144
407,7.497446,-3.988478,1.123856
408,4.979446,-5.514478,4.285856
409,-4.224554,1.423522,-7.336144
410,-5.020554,-1.832478,-6.746144
411,7.855446,3.357522,1.151856
412,4.913446,3.077522,6.383856
413,6.297448,-4.358478,-3.978144
414,-5.424554,1.353524,6.591856
415,5.887448,1.347522,6.191856
416,-7.326554,3.789522,2.619856
417,8.219446,-2.054478,1.783858
418,-2.000554,-8.212478,-1.900144
419,-4.482554,5.799522,4.629856
420,4.683446,7.029522,-2.026144
421,-0.034554,-3.944478,-7.740144
422,-3.736554,3.451522,-7.052144
423,3.485446,6.999524,-3.804144
424,4.009448,5.689522,5.231858
425,5.399446,-6.760478,1.019856
426,3.887448,-7.534478,2.073856
427,-5.992554,-2.190478,5.959856
428,1.377448,-1.960478,8.395856
429,-8.078554,-3.014478,1.421856
430,-1.340554,1.069522,-8.570144
431,-8.036554,3.323522,-0.958144
432,6.907446,5.349522,0.527856
433,1.873446,-7.820478,3.459856
434,-8.018554,1.523522,3.165858
435,2.367446,-8.090478,-2.440144
436,-3.220554,4.029522,7.099858
437,1.681446,3.393522,-7.924144
438,-3.320554,-6.860478,4.363858
439,-5.910554,-4.060478,5.083856
440,-4.266554,-6.224478,-4.512144
441,-6.704554,-4.770478,-3.100144
442,2.603446,-8.398478,0.185856
443,-1.320554,-7.290478,4.747856
444,-0.000554,8.687522,-1.442144
445,-8.180554,-1.448478,-2.922144
446,-3.294554,-1.936478,-7.948144
447,2.505446,-4.726478,7.021856
448,-6.202554,4.657522,-4.234144
449,5.805446,5.703522,-3.450144
450,-1.680554,3.213522,8.079856
451,-3.474554,8.129522,-0.550144
452,-6.972554,5.299522,1.349858
453,-4.886554,-7.404478,-0.148144
454,7.177446,4.561524,-2.550144
455,0.431446,-7.674478,-4.446144
456,-6.386554,-2.830478,-5.508144
457,-7.436554,-4.884478,0.775856
458,-0.006554,4.285522,7.835858
459,0.705446,-7.358478,5.029856
460,4.241446,-5.002478,6.081856
461,0.887446,-4.006478,7.947856
462,-0.562554,-2.234478,-8.644144
463,8.535446,-2.748478,-0.058144
464,8.373448,1.391522,-2.934144
465,-7.334554,-5.046478,-1.216144
466,-7.268554,2.877522,4.431856
467,0.431446,-5.712478,-6.928144
468,-0.078554,6.069522,6.639856
469,6.945446,-5.716478,0.295856
470,-6.272554,-6.208478,1.795856
471,7.503446,1.715522,-4.702144
472,-1.980554,-4.170478,7.755858
473,-2.046554,8.771522,0.843856
474,8.227448,0.853524,3.671856
475,-1.968554,8.167522,3.367856
476,3.591446,-2.860478,7.801856
477,6.057448,-0.574478,6.715856
478,1.913446,-4.546478,-7.622144
479,4.639446,5.947524,-5.058144
480,0.533446,-9.06248,0.287856
481,-5.560554,6.341522,-3.376144
482,-8.060554,-3.520478,-2.280144
483,-8.916554,0.499524,1.701856
484,-3.338554,-8.102478,2.427856
485,5.119446,-6.060478,-4.450144
486,-4.710554,7.523524,-2.002144
487,-5.218554,7.307522,1.491856
488,-7.616554,-3.860478,3.165858
489,8.865446,-0.174478,2.087856
490,1.723446,5.141524,7.327856
491,4.045446,-8.058478,-1.350144
492,1.427446,-2.846478,-8.550144
493,-6.672554,3.107522,-5.414144
494,-0.542554,8.865522,2.157856
495,2.023448,-0.038476,8.919858
496,2.679448,1.733522,-8.578144
497,1.341446,5.809522,-6.944144
498,-6.706554,-0.218478,6.227856
499,-1.932554,-0.812478,-8.920146
500,3.619446,2.923522,7.903856
501,-3.092554,7.223522,4.737856
502,7.323446,-2.172478,5.087856
503,5.891448,4.775522,5.185856
504,6.755448,2.999524,5.459856
505,-5.274554,3.341522,6.745858
506,-1.342554,8.613524,-2.918144
507,0.913446,0.959522,-9.102144
508,-8.664554,2.647522,1.633856
509,-4.870554,5.849522,-5.186144
510,-7.966554,2.149522,-4.136144
511,-9.236556,0.035522,-0.220144
512,1.615446,-6.946478,-5.896144
513,4.967448,-3.014478,-7.224144
514,0.019446,-9.030478,2.213856
515,7.189448,-1.634478,-5.666144
516,7.661448,-0.208478,5.275856
517,2.809446,8.509524,-2.584144
518,-1.708554,5.281522,7.501856
519,0.957446,7.663522,5.239856
520,-3.968554,-3.778478,-7.570144
521,-7.538554,-2.720478,4.807858
522,-0.306552,-9.216478,-1.526144
523,2.871446,7.603524,4.635856
524,-5.138554,-7.224478,-3.012144
525,9.289446,-0.374478,-1.136144
526,-2.584554,-5.214478,-7.340144
527,8.559446,3.181522,-2.092144
528,-1.618554,-8.626478,3.303856
529,-6.112554,0.499524,-7.108144
530,-0.014554,2.647522,9.017856
531,-6.598554,6.483522,-1.670144
532,-2.538554,-6.602478,6.191856
533,-8.632556,-3.726478,-0.366144
534,-6.716554,-6.598478,-0.116144
535,8.951446,-2.190478,-1.936144
536,-4.066554,-8.316478,-1.726142
537,-7.896554,-2.966478,-4.198144
538,6.375446,6.639522,2.023858
539,-2.842554,-0.892476,8.951856
540,-4.676554,-0.390478,-8.194144
541,-1.896554,9.223522,-1.096144
542,-3.594552,5.439522,-6.884144
543,-4.760554,0.347522,8.195856
544,5.295446,-3.590476,7.001856
545,-5.634554,2.815524,-7.098144
546,7.017446,4.501522,-4.544144
547,5.947446,0.719522,-7.386144
548,4.667446,-0.970478,8.239856
549,4.769448,7.153522,4.117856
550,-0.524554,-6.922478,6.541856
551,-3.076554,1.095522,8.967858
552,-3.096554,-6.680478,-6.076144
553,-1.460554,-9.438478,0.099856
554,2.033448,8.151524,-4.552144
555,9.507446,0.879522,0.393856
556,-9.290554,-1.460478,1.763856
557,2.341446,1.929522,9.085858
558,7.705446,5.179524,2.387856
559,6.935446,-5.362478,3.879856
560,0.919448,-1.140478,-9.476144
561,3.355446,-3.352478,-8.364144
562,1.209446,9.547524,0.219856
563,3.695446,3.521522,-8.168144
564,-0.468554,-5.468478,7.919858
565,-8.580554,-0.050478,-4.406144
566,5.459446,3.193522,-7.286144
567,6.237446,-4.728478,5.643856
568,8.435446,-4.678478,-0.556142
569,-9.020554,-0.452478,3.461856
570,3.777446,0.069522,-8.910144
571,-8.608554,4.377524,0.653856
572,2.627448,-9.086478,2.067856
573,-5.096554,-4.640478,6.813856
574,-5.638554,-4.320478,-6.604144
575,5.323446,0.911522,8.057858
576,-2.346554,4.245522,-8.402144
577,-3.374554,7.059522,-5.740144
578,4.615446,-8.524478,0.491856
579,3.403446,8.677522,2.707858
580,-6.604554,4.329524,5.643856
581,3.527446,5.927522,-6.842144
582,0.827446,-9.158478,-3.168144
583,4.149446,-6.916478,5.449856
584,-3.334554,-8.002478,-4.432144
585,4.475446,8.593524,1.015856
586,6.165448,-6.988478,2.853858
587,3.875446,-7.608478,-4.708144
588,3.465446,9.103524,-0.720144
589,6.789446,-6.184478,-3.338144
590,-3.206554,0.733522,-9.202144
591,-8.184556,4.855522,-2.228144
592,0.441446,9.031522,-3.724144
593,-2.714554,8.333522,-4.352144
594,1.383446,9.419524,2.275856
595,-1.158554,5.749524,-7.838144
596,-5.060554,5.313522,6.487856
597,1.651446,-9.570478,-1.292142
598,-1.154554,-9.076478,-3.512144
599,-9.568554,1.691522,-1.332144
600,-1.130554,-1.700478,9.593856
601,9.707448,-1.294478,0.657856
602,-8.068554,1.043522,5.497856
603,-2.346554,6.935522,6.571858
604,4.103446,-4.968478,-7.446144
605,-5.834554,-6.536478,4.497856
606,-0.536554,3.757522,-9.092144
607,-4.518554,-6.384478,5.997856
608,4.677446,1.809522,-8.490144
609,-5.470554,8.201522,-0.276144
610,-0.860554,8.399522,-5.106144
611,2.847446,-1.658478,-9.308144
612,-4.020554,8.911522,1.403856
613,6.717448,6.093524,3.915858
614,-8.308554,-0.932478,5.267856
615,-9.646554,-0.342478,-2.140144
616,8.057448,5.623522,-1.108142
617,-3.384554,8.935522,-2.558144
618,9.479446,1.899522,2.105856
619,7.953448,4.223522,4.121856
620,4.939448,5.109522,6.907856
621,-1.566554,7.247522,-6.578144
622,-9.506554,-2.278478,-1.664144
623,0.521446,0.917522,9.865856
624,0.42465,7.515928,-6.463744
625,-1.460554,0.279522,9.811858
626,-7.142554,2.571522,6.401858
627,-6.474554,6.005522,4.559856
628,-4.276554,-3.516478,8.257856
629,8.887448,-2.736476,3.539856
630,-9.074554,3.113522,-2.652144
631,1.579446,-7.092478,6.803856
632,6.895446,7.173522,-0.610144
633,3.127448,-1.650478,9.323856
634,-6.394554,-6.340478,-4.292144
635,5.985446,-7.934478,-0.896144
636,-7.074554,-6.614478,-2.436144
637,8.761446,-0.846478,-4.722144
638,7.173446,2.121522,-6.632144
639,-1.562554,-8.31248,-5.330142
640,8.631446,-3.510478,-3.632144
641,-6.980554,7.151522,0.521856
642,4.715446,-7.954478,3.843856
643,5.347446,8.433524,-0.774144
644,5.651448,-7.762478,-2.866144
645,2.537446,-8.104478,5.335858
646,7.957448,0.353522,-6.102144
647,8.263446,-5.126478,-2.504144
648,-5.122554,-8.520478,1.497856
649,0.527446,-9.148478,4.143856
650,3.387448,6.363524,7.015856
651,-8.186554,4.139522,-4.148144
652,8.567446,3.307522,-4.134144
653,-4.688554,-1.630478,8.763856
654,6.193448,4.793522,-6.340144
655,-0.452554,-3.654478,9.389856
656,-8.156554,5.925522,-0.540144
657,-7.404554,-4.752478,-4.968144
658,-0.560554,0.043522,-10.100144
659,8.237446,1.665522,5.641858
660,6.147446,-4.630478,-6.580144
661,-4.062554,2.685522,-8.878144
662,9.671446,2.973522,0.401856
663,5.385446,7.537524,-4.112144
664,7.611446,-3.904478,-5.436144
665,-5.682554,4.923522,-6.810144
666,-8.098554,-1.844478,-5.830144
667,9.667446,-0.128478,-3.084144
668,0.709446,-1.062478,10.069856
669,-0.818554,8.579524,5.371856
670,2.529446,5.129522,-8.412144
671,-7.978554,0.093524,-6.312144
672,-3.546554,-9.510478,0.769856
673,-3.392554,3.069522,9.101856
674,-3.880554,8.751522,3.509858
675,1.505446,9.893522,-1.960144
676,-9.566556,1.291522,-3.298144
677,5.541446,-1.474478,-8.442144
678,-7.438554,-5.340478,4.505858
679,-8.110554,-5.678478,2.479856
680,1.537446,7.131524,7.139856
681,-7.984554,4.731522,4.251856
682,3.323446,-6.750478,-6.918144
683,8.061448,-4.022478,4.839858
684,-2.494554,-3.168478,9.399856
685,0.221448,9.457524,3.905858
686,8.873448,5.051524,0.767856
687,2.525446,-8.990478,-4.212142
688,-0.984554,-5.894478,-8.326144
689,-3.566554,-5.366478,7.985858
690,-10.118556,1.641522,0.597856
691,-5.472554,2.231522,8.397858
692,7.509448,-6.836478,-1.588144
693,8.635446,-4.684478,3.043856
694,1.469446,2.737522,-9.810144
695,-7.456554,1.945522,-6.836144
696,-6.132554,-8.134478,-1.532144
697,0.575448,5.385522,-8.764144
698,-9.108554,3.119522,3.693858
699,-7.652554,6.263524,2.965856
700,-0.424554,2.039522,-10.116144
701,-7.050554,-1.272478,-7.448144
702,-5.152554,7.679524,4.627858
703,3.833446,0.449522,9.597856
704,10.047448,2.077522,-1.340144
705,-1.878554,-4.340476,-9.208144
706,-3.598554,5.887522,7.723856
707,6.303446,-2.134478,7.947856
708,-0.630554,10.321524,0.793856
709,-5.352554,-8.183678,3.455856
710,-6.406554,-0.790478,8.121856
711,-1.488554,-7.402478,-7.116144
712,-6.172554,-2.758478,7.877858
713,-3.082554,-9.434478,-3.062144
714,-4.956554,8.001522,-4.396142
715,-2.996554,-9.890478,-1.116144
716,-7.606554,6.007522,-3.758144
717,-9.474554,-3.204478,2.841856
718,-2.264554,2.779522,-9.762144
719,1.669446,-5.846478,8.443858
720,7.969446,-6.370478,2.047858
721,0.157446,-8.240478,-6.356144
722,-1.998554,-10.040478,1.925856
723,2.405448,7.575524,-6.734144
724,9.391448,3.889522,2.309856
725,7.257446,-3.362478,6.685856
726,7.189448,-0.848478,-7.502144
727,2.997446,9.933524,1.033856
728,3.657446,-6.456478,7.327856
729,6.965446,-2.892478,-7.214144
730,9.311448,2.611522,3.963856
731,4.165448,-9.088478,-3.072144
732,-4.548554,-5.798478,-7.422144
733,6.789446,2.469522,7.563856
734,4.761446,8.939522,-2.624144
735,-3.644554,-8.832478,4.269858
736,7.681446,6.421522,-3.052144
737,6.449446,7.877524,-2.436144
738,5.227446,-6.408478,-6.422144
739,3.225446,-4.492478,8.893856
740,0.163446,-3.874478,-9.730144
741,5.621446,8.393522,2.773858
742,-9.330554,-4.576478,1.333856
743,-1.726552,2.469522,10.035856
744,-2.194554,-2.506478,-9.942144
745,-2.606554,9.865522,2.451856
746,2.333446,3.895524,9.461856
747,-7.054554,1.063522,7.717858
748,7.157446,-7.664478,0.705856
749,2.091446,-10.288478,0.559856
750,7.529448,0.633522,7.311858
751,2.305446,0.099522,-10.260144
752,6.619446,6.355522,-5.150144
753,9.813446,-3.308478,1.867856
754,-6.370554,7.801524,3.049856
755,6.119446,-7.040478,4.871856
